publicAddress,wantsToParticipate,accountAmountOfLetsPlay
0x0ce390f18af702cca546297845a4a51d102123cf,true,1
0x81dcab1513d88478a3536348d6d7560f2d8762a4,true,1
0x97139ab1d45e3e1f02083e216c9d3d5af8bc958f,true,6
0x265a25670a194df9ff63c848827455da74042087,true,6
0xd353a1a0051175b4ddacc8e6e6ee5f3976b907e8,true,1
0x1796a702f8bee364846735a10c7daf62eed34a67,true,4
0x218a211431d5592316717bb9ac07d36f18d3c8ef,true,1
0xcd33e2aa93223ecc6cc816d836dce0f3e635732f,true,1
0xfdd9a3e4c07756c1dc31ba938fc062d45eab1668,true,3
0x49ff66d90c67ca99feaa5e8e473396d5c25aa71a,true,2
0xde3e1da19ea0c90fcf70b5f1a8d2fd7fce7151e4,true,1
0x8abe2749b67ad7debb7442c46ea4a0e003d4852a,true,2
0xb2e7f7cf519020c8b6ff32a088fec95b03ccc715,true,1
0x67ca64e6d0a97bae9d85b6b005a0ccdd876ab896,true,1
0xf7764568b698e5954892c00ed7d9a390b105c5f7,true,1
0x117dde66c2de2979ba4619d8d494fd20ffe96c2e,true,1
0x05576913eea5d79b83f28f0cb0d12be54fdae8dc,true,3
0x9a68254a63b08710901e721352342d3b2d30901c,true,1
0x9631d389a1fa14996d93d3bd1948a4e844eecad7,true,1
0x24e838b0181c7af61518c27063e1dc9359cd2f0f,true,1
0xca7e077ab56ba580f7dbe6e50cb2468827bcc40e,true,1
0x2d11aae00487160cbc5b41442a0b14b5e1ac2d1d,true,4
0x69cb3b1de24e08f1cfc2994171b6c6930498f750,true,3
0xc85b3cbf81e63e0524717efc4e53dc12658b1fc5,true,1
0x207faf11800138e4b77d94a8298ffce74d5e5c33,true,1
0xb38ff496097518a833669a16d8cc3be6bc479ec8,true,1
0xda4c7cccb4572eb210ee6ad6fbc3f752304d4a63,true,1
0x891aa27af08e3bc78e00f239355e7d9b646b0a25,true,1
0xb55d65402e87ae6e0d0a40244fc5f8b943dac044,true,2
0x1d10b0166a761f269adf864ebdaca9be445ca637,true,2
0x443540a94c9d53445725c9637d533e0a5faf40f7,true,10
0x9d45c8492f94687ec1317ee81e2b8647af5a1759,true,2
0x7e7216319b016c758ed6f792eff389291aa8040f,true,1
0x26f87915216d0d7375c9febd8a63bb90d1b503c5,true,1
0xe4e848c9e08133d85acb1cd09f631b3dee54235a,true,1
0xd2b12f1a75b2313980d7c410002e6a48cf389b8d,true,1
0xed8982578836f7d498856b3f543f128bb8621f2a,true,10
0x5843236ce0d3e08ecc8898a995212ab4c4a11107,true,1
0x75e1ee1dc2f501c1b23332e92c19f21866960ecd,true,1
0x23602ca06e977c86339ffddad74966e824ab691e,true,10
0xc9646794d03c53bc9a3b4ad60188a0b1d962e8ff,true,1
0x590f4ca9b70860d1b89be8a7e69f22e59f6dcf6f,true,1
0xe01a97fc4607a388a41626d5e039fdecbfc6acd9,true,5
0xa0901c7b8177fb3645b64d618cfd94a688270f9c,true,1
0x6af7812fc932da2d34738a33f295de54011fd16b,true,1
0x017347cb75ac8725608e593ea35d83f9b2b3cfb8,true,1
0xb006e407c055350055c197cc00aa38301d916d0c,true,1
0x9424116b9d61d04b678c5e5eddf8499f88ed9ade,true,1
0x5168895228e49c785d3d77a4621f076403da79a0,true,1
0x7ed9cf5dbf2f68bd33ea2c95ef2b4634976ba7f8,true,1
0x58335915e11acba82cada466f02ce70668614f9d,true,1
0x1a4b7409e020140443a02ef26858a7e53ac7d652,true,1
0xc5666b5c1f1077ae5c1a41d63efe8290abb9e0f0,true,2
0x25902aad3d4c12b368c18e8b6b02445ebd2d117b,true,1
0xf6d47763f157f42e8bd711a3b41510267eaf4ba1,true,1
0x6de871e6e9d6271c701f0dc031e3a4cd35681264,true,1
0x738a1f6d79e592f726efaa3b8bef81797f408119,true,1
0x32084ce62e8955da04ce2a2969bd6edbb4b346a5,true,2
0x68f4400dac3a94d77c7f6bd12976ff5704253deb,true,1
0x69cb511fca7c6d3534b6dfa3bb4ac5446b63ef53,true,1
0xfe2b8dc957459ac2a08fef57576bcb8a89845d8b,true,1
0x97d2b1b4a249ec77d56fd1576546996d14f7db1a,true,1
0x64acc74b69faaaa90a5bcd5c46b4de3baf0c51b8,true,2
0x9a667dcebfab972af744ac02e6d477945fc24da2,true,1
0xe1268b49d3e4e559f466239df4bee1d5cae04356,true,3
0xe74abe3bc87a4cf34acfd7c548208700c0e669b0,true,3
0x8fc54e3d572012099f3f48369657d58f653e92e4,true,1
0x31f5afe73e35de36ec0b99ab683883af4dfc8dce,true,1
0xffcad6bba49e6a63489c078c3a4a9298ee21cfab,true,1
0x94b08f4daf6b0b1501fe4297280ec99412f66030,true,1
0xd91dc7c83bd01b91cb25019dfc4e35bc6faab814,true,4
0x0b4990b3ac5d1d00e32711d421543975ad7a9906,true,2
0xf433bdbf45ae8396805f5882c9f395b246e62af8,true,1
